目录路径,功能名称,等级,功能类型,所属模块,描述,外部ID,关键规则,验收标准
产品管理系统,产品管理系统,,,产品管理,产品管理智能体：产品、版本、需求、功能、缺陷、客户、知识库全链路管理,,,
全局总览,全局总览,,,全局总览,跨产品聚合视角，路由 /product-agent,,,
全局总览/概览仪表盘,概览仪表盘,p0,core,全局总览,KPI 卡片展示需求/功能/缺陷/版本数量,?section=dashboard,PMS-FEA-OV-DASH,按用户权限范围聚合数据,卡片数字与对应列表总数一致
全局总览/概览仪表盘/需求分级分布,需求分级分布图,p2,basic,全局总览,概览页需求 P0-P3 分布饼图,PMS-FEA-OV-DASH-REQ-CHART,数据来自权限内全部需求,切换分区后图表仍正确渲染
全局总览/概览仪表盘/缺陷状态分布,缺陷状态分布图,p2,basic,全局总览,概览页缺陷按工作流状态分布,PMS-FEA-OV-DASH-DEF-CHART,严重程度与状态分开展示,图例与列表状态一致
全局总览/概览仪表盘/版本漏斗,版本生命周期漏斗,p2,basic,全局总览,立项与正式版本阶段漏斗,PMS-FEA-OV-DASH-VER-FUNNEL,含立项与正式两类,各阶段数量与版本列表一致
全局总览/概览仪表盘/最近活动,最近活动流,p2,basic,全局总览,近期创建/更新的需求、功能、产品动态,PMS-FEA-OV-DASH-ACTIVITY,点击条目跳转对应详情,跳转路由正确
全局总览/产品,产品管理,,,全局总览,产品建档与维护,?section=products,,
全局总览/产品/产品列表,产品列表,p0,core,全局总览,卡片/表格双视图展示可见产品,PMS-FEA-PROD-LIST,应用管理员见全部；成员见负责/参与产品,点击产品进入单产品工作台
全局总览/产品/搜索筛选,搜索与类型筛选,p1,basic,全局总览,按名称、编号、产品类型筛选,PMS-FEA-PROD-FILTER,支持关键词即时过滤,筛选后条数与条件一致
全局总览/产品/收藏筛选,收藏筛选,p3,basic,全局总览,仅显示已收藏产品,PMS-FEA-PROD-FAV,偏好存 sessionStorage,刷新后收藏状态保留
全局总览/产品/新建编辑,新建与编辑产品,p1,core,全局总览,创建或修改名称、编码、描述、分级、负责人,PMS-FEA-PROD-CREATE,名称全局唯一,保存后列表立即可见
全局总览/产品/删除产品,删除产品,p2,core,全局总览,删除产品及其关联数据需确认,PMS-FEA-PROD-DELETE,需二次确认,删除后列表不再显示
全局总览/产品/批量导出,批量导出 CSV,p2,basic,全局总览,选中多条产品导出摘要,PMS-FEA-PROD-EXPORT,至少选 1 条,导出文件含选中产品字段
全局总览/产品/批量导入,批量导入产品,p2,basic,全局总览,从 CSV/Excel 导入初始产品清单,PMS-FEA-PROD-IMPORT,同名跳过,弹窗显示新增与跳过数量
全局总览/需求,需求总览,,,全局总览,跨产品需求汇总,?section=requirements,,
全局总览/需求/需求列表,跨产品需求列表,p0,core,全局总览,全部产品需求汇总表,PMS-FEA-OV-REQ-LIST,支持排序与列筛选,列头含分级、状态、处理人
全局总览/需求/我负责的,我负责的筛选,p1,core,全局总览,仅显示当前用户为处理人的需求,PMS-FEA-OV-REQ-MINE,与处理人字段匹配,切换后条数正确
全局总览/需求/多维筛选,多维筛选,p1,basic,全局总览,按产品/处理人/状态/分级等组合筛选,PMS-FEA-OV-REQ-FILTER,支持追踪标记联动,筛选条件可清空重置
全局总览/需求/追踪筛选,追踪筛选,p2,basic,全局总览,仅显示已追踪记录,PMS-FEA-OV-REQ-TRACK,追踪状态存 sessionStorage,标记后列表可过滤
全局总览/需求/批量导出,批量导出,p2,basic,全局总览,选中需求导出 CSV,PMS-FEA-OV-REQ-EXPORT,支持全选,导出字段与列表一致
全局总览/需求/历史导入,历史需求导入,p1,core,全局总览,CSV/Excel/RTF 导入 TAPD 历史需求,PMS-FEA-OV-REQ-IMPORT,按分类/应用/产品列自动路由,未匹配产品有明确跳过反馈
全局总览/功能,功能总览,,,全局总览,跨产品功能目录,?section=features,,
全局总览/功能/功能目录,功能目录树与表格,p1,core,全局总览,先选产品后展示该产品的功能树,PMS-FEA-OV-FEAT-CATALOG,须选正式版本,切换版本后树节点随之变化
全局总览/功能/版本筛选,正式版本筛选,p1,basic,全局总览,按正式版本过滤功能目录,PMS-FEA-OV-FEAT-VER,仅正式版本可选,无版本时提示先申领
全局总览/功能/目录导入,功能目录结构导入,p1,core,全局总览,CSV/Excel 按路径批量导入功能树,PMS-FEA-OV-FEAT-IMPORT,须选归属正式版本；应用管理员可见,导入后树结构完整
全局总览/功能/新建功能,新建功能,p2,core,全局总览,跳转单产品新建功能页,PMS-FEA-OV-FEAT-CREATE,需先选产品,路由含正确 productId
全局总览/缺陷,缺陷总览,,,全局总览,跨产品缺陷汇总,?section=defects,,
全局总览/缺陷/缺陷列表,跨产品缺陷列表,p1,core,全局总览,全部产品缺陷汇总表,PMS-FEA-OV-DEF-LIST,TAPD 优先级映射为严重程度,列含严重程度与处理人
全局总览/缺陷/筛选追踪,筛选与追踪,p2,basic,全局总览,多维筛选与追踪标记,PMS-FEA-OV-DEF-FILTER,与需求总览筛选模式一致,追踪筛选生效
全局总览/缺陷/历史导入,历史缺陷导入,p2,basic,全局总览,CSV/Excel/RTF 导入历史缺陷,PMS-FEA-OV-DEF-IMPORT,按应用/产品列路由,导入后出现在对应产品
全局总览/版本,版本总览,,,全局总览,跨产品版本与立项,?section=versions,,
全局总览/版本/正式版本,正式版本列表,p1,core,全局总览,跨产品正式版本汇总,PMS-FEA-OV-VER-RELEASE,点击行进入版本详情,状态与单产品列表一致
全局总览/版本/正式版本导入,正式版本历史导入,p2,basic,全局总览,Excel 导入正式版本记录,PMS-FEA-OV-VER-REL-IMPORT,按产品列路由,导入后版本可见
全局总览/版本/内部版本,内部版本列表,p1,core,全局总览,跨产品立项（内部版本）汇总,PMS-FEA-OV-VER-INIT,点击行进入立项详情,含评审进度
全局总览/版本/内部版本导入,内部版本历史导入,p2,basic,全局总览,Excel 导入立项记录,PMS-FEA-OV-VER-INIT-IMPORT,按产品列路由,导入后立项可见
全局总览/客户,客户库,,,全局总览,客户档案管理,?section=customers,,
全局总览/客户/客户列表,客户列表,p2,core,全局总览,客户档案列表与搜索,PMS-FEA-OV-CUST-LIST,客户名去重,可按名称搜索
全局总览/客户/新建编辑,新增与编辑客户,p2,core,全局总览,维护客户基础信息,PMS-FEA-OV-CUST-CREATE,必填字段校验,保存后列表可见
全局总览/客户/删除客户,删除客户,p3,core,全局总览,管理员可删除客户,PMS-FEA-OV-CUST-DELETE,需管理员权限,删除后不再显示
全局总览/客户/批量导出,批量导出,p3,basic,全局总览,导出客户 CSV,PMS-FEA-OV-CUST-EXPORT,支持多选,文件字段完整
全局总览/知识库,知识库,,,全局总览,跨产品知识聚合,?section=knowledge,,
全局总览/知识库/知识聚合,跨产品知识列表,p2,basic,全局总览,聚合各产品知识条目,PMS-FEA-OV-KB-LIST,支持搜索与按产品筛选,可跳转单产品知识库
全局总览/图谱,关系图谱,p2,value_added,全局总览,跨产品需求-功能-版本-缺陷关联可视化,?section=graph,PMS-FEA-OV-GRAPH,节点按产品着色,点击节点打开详情
全局总览/应用,应用配置,,,全局总览,应用级工作流与管理员,?section=workflow,仅应用管理员可见,,
全局总览/应用/需求工作流,需求工作流,p0,core,应用配置,配置需求状态与合法流转,PMS-FEA-CFG-WF-REQ,支持全局默认与单产品覆盖,非法流转不可执行
全局总览/应用/功能工作流,功能工作流,p1,core,应用配置,配置功能状态与流转,PMS-FEA-CFG-WF-FEAT,与需求工作流独立配置,修改后新单据走新流程
全局总览/应用/缺陷工作流,缺陷工作流,p1,core,应用配置,配置缺陷状态与跨对象转需求,PMS-FEA-CFG-WF-DEF,含非产品缺陷分支,跨对象流转生成需求
全局总览/应用/流转规则,流转规则配置,p1,core,应用配置,编辑 from→to 流转条件与备注要求,PMS-FEA-CFG-WF-RULE,禁止删除在用状态,流转弹窗只显示合法目标
全局总览/应用/覆盖范围,全局与单产品覆盖,p2,basic,应用配置,选择工作流作用于全局或指定产品,PMS-FEA-CFG-WF-SCOPE,单产品覆盖优先于全局,切换范围后编辑器加载对应定义
全局总览/应用/产品管理员,产品管理员总览,p1,core,应用配置,各产品负责人与产品管理员指派,PMS-FEA-CFG-ADMINS,负责人不可删；管理员可多位,无权限产品只读
全局总览/设置,全局设置,,,全局总览,表单模板与类型治理,?section=settings,仅应用管理员可见,,
全局总览/设置/表单模板,自定义表单字段,p1,core,全局设置,需求/功能/版本/客户自定义字段,PMS-FEA-CFG-FORM,字段类型覆盖 text/select/user/relation 等,新建对象表单展示自定义字段
全局总览/设置/描述模板,描述模板管理,p2,basic,全局设置,维护需求/功能描述模板,PMS-FEA-CFG-DESC,模板可选插入,详情页可选用模板
全局总览/设置/产品类型,产品类型管理,p2,basic,全局设置,维护产品分类（类型）,PMS-FEA-CFG-CATEGORY,影响产品筛选与展示,新建产品可选类型
全局总览/设置/需求类型,需求类型管理,p2,basic,全局设置,维护需求类型枚举,PMS-FEA-CFG-REQTYPE,与需求表单联动,新建需求可选类型
全局总览/设置/应用管理员,应用管理员名单,p1,core,全局设置,维护可执行历史导入与应用配置的管理员,PMS-FEA-CFG-APP-ADMINS,仅超级管理员可改,名单实时生效
全局总览/设置/演示重置,演示数据重置,p3,value_added,全局设置,重置产品管理演示数据,PMS-FEA-CFG-DEMO-RESET,仅调试环境建议开启,重置后恢复种子数据
单产品,单产品视图,,,单产品,单产品内全链路管理，路由 /product-agent/p/:productId,,,
单产品/工作台,工作台,p0,core,单产品,默认 tab：AI 助手、待办、快捷操作,?tab=overview,,
单产品/工作台/AI助手,AI 助手问答,p2,value_added,单产品,SSE 流式问答产品上下文,PMS-FEA-SP-AI,须选模型池,流式输出无空白等待
单产品/工作台/我的待办,我的待办,p1,core,单产品,当前用户在该产品的待处理事项,PMS-FEA-SP-TODO,含需求/缺陷等待办,点击跳转对应详情
单产品/工作台/快捷操作,快捷操作配置,p2,basic,单产品,可配置新建与页面直达快捷入口,PMS-FEA-SP-QUICK,注册表驱动 11 项操作,配置后工作台按钮即时生效
单产品/报表,产品报表,p1,core,单产品,KPI 与多维度图表,?tab=reports,,
单产品/报表/KPI卡片,产品 KPI,p1,core,单产品,版本/需求/功能/缺陷/完成率指标,PMS-FEA-SP-RPT-KPI,实时聚合,数字与列表一致
单产品/报表/总体进度,总体进度饼图,p2,basic,单产品,需求完成占比,PMS-FEA-SP-RPT-PROG,按状态统计,图与数据一致
单产品/报表/迭代速度,迭代速度,p2,basic,单产品,近 8 周需求吞吐趋势,PMS-FEA-SP-RPT-VEL,按周聚合,时间轴连续
单产品/报表/需求分布,需求分级分布,p2,basic,单产品,P0-P3 分布,PMS-FEA-SP-RPT-REQ,与全局概览一致算法,分级占比正确
单产品/报表/缺陷分布,缺陷状态分布,p2,basic,单产品,按工作流状态分布,PMS-FEA-SP-RPT-DEF,含严重程度维度,与缺陷列表一致
单产品/报表/版本漏斗,版本生命周期漏斗,p2,basic,单产品,本产品版本阶段漏斗,PMS-FEA-SP-RPT-VER-FUNNEL,含立项与正式,阶段数正确
单产品/报表/版本进度,版本进度堆叠图,p2,basic,单产品,各版本需求/功能完成堆叠,PMS-FEA-SP-RPT-VER-STACK,按版本分组,堆叠与版本详情一致
单产品/看板,需求看板,p1,core,单产品,按状态分列拖拽流转,?tab=board,PMS-FEA-SP-BOARD,拖拽触发工作流校验,非法状态不可落列
单产品/版本,版本管理,,,单产品,正式版本与内部版本,?tab=versions,,
单产品/版本/正式版本,正式版本列表,p0,core,单产品,V 号、方案名、状态、计划/实际时间,PMS-FEA-SP-VER-RELEASE,立项与正式分 tab,筛选后条数正确
单产品/版本/申领版本号,申领正式版本号,p0,core,单产品,申领 V 号并绑定方案名称,PMS-FEA-SP-VER-APPLY,V 号产品内唯一,申领后可被功能导入选择
单产品/版本/临时优化,临时优化需求,p2,basic,单产品,小版本临时优化发版入口,PMS-FEA-SP-VER-TEMP,跳转 release/new?temporary=1,创建后标记为临时版本
单产品/版本/内部版本,内部版本列表,p1,core,单产品,立项（内部版本）列表与进度,PMS-FEA-SP-VER-INIT,含评审节点,进度与当前节点一致
单产品/版本/新建立项,新建立项向导,p1,core,单产品,创建立项并进入评审流程,PMS-FEA-SP-VER-INIT-CREATE,必填方案与目标,创建后进入立项详情
单产品/版本/立项评审,Agent 立项评审,p2,value_added,单产品,SSE 流式 AI 立项评审,PMS-FEA-SP-VER-INIT-REVIEW,可重新发起/继续决策,评审过程有阶段提示
单产品/需求,需求管理,,,单产品,单产品需求全生命周期,?tab=requirements,,
单产品/需求/需求列表,需求列表,p0,core,单产品,编号、标题、分级、状态、处理人,PMS-FEA-SP-REQ-LIST,默认仅我相关,列筛选与数据一致
单产品/需求/视图切换,列表看板切换,p2,basic,单产品,表格视图与看板视图互切,PMS-FEA-SP-REQ-VIEW,状态同步,切换不丢筛选
单产品/需求/筛选追踪,筛选与追踪,p1,basic,单产品,多维筛选与追踪标记,PMS-FEA-SP-REQ-FILTER,与全局总览模式一致,追踪筛选生效
单产品/需求/新建需求,新建需求,p1,core,单产品,手工创建需求,PMS-FEA-SP-REQ-CREATE,标题必填；编号系统生成,创建后列表可见
单产品/需求/RTF导入,RTF 需求导入,p1,core,单产品,TAPD RTF 批量导入需求,PMS-FEA-SP-REQ-RTF,按分类路由到本产品,解析条数与导入结果一致
单产品/需求/导出CSV,导出 CSV,p2,basic,单产品,全量或选中导出,PMS-FEA-SP-REQ-EXPORT,字段与列表一致,文件可打开
单产品/需求/批量流转,批量选择与流转,p1,core,单产品,多选后批量执行工作流流转,PMS-FEA-SP-REQ-BATCH-WF,仅合法目标可选,流转后状态更新
单产品/追溯矩阵,需求追溯矩阵,p0,core,单产品,RTM：需求-功能-版本追溯,?tab=rtm,PMS-FEA-SP-RTM,矩阵行=需求列=功能/版本,断链高亮可见
单产品/追溯矩阵/断链高亮,断链高亮,p1,core,单产品,无功能/无版本/孤儿功能高亮,PMS-FEA-SP-RTM-GAP,三种断链类型分色,点击可跳转补链
单产品/功能,功能管理,,,单产品,按正式版本维护功能目录树,?tab=features,,
单产品/功能/功能目录,功能目录树与表格,p0,core,单产品,树形+列表双视图,PMS-FEA-SP-FEAT-CATALOG,须选正式版本,切换版本后树刷新
单产品/功能/版本筛选,正式版本筛选,p1,basic,单产品,按正式版本过滤,PMS-FEA-SP-FEAT-VER,仅正式版本,无版本时引导申领
单产品/功能/目录导入,功能目录结构导入,p0,core,单产品,CSV/Excel 按路径批量导入,PMS-FEA-SP-FEAT-IMPORT,须选归属正式版本,导入后本文件树完整展示
单产品/功能/新建功能,新建功能,p1,core,单产品,在指定父节点下新增,PMS-FEA-SP-FEAT-CREATE,叶子填业务字段,保存后树刷新
单产品/功能/申领版本,申领正式版本号,p2,basic,单产品,从功能页快捷申领 V 号,PMS-FEA-SP-FEAT-APPLY-VER,跳转版本申领,申领后可选为新版本
单产品/缺陷,缺陷管理,,,单产品,产品缺陷台账,?tab=defects,,
单产品/缺陷/缺陷列表,缺陷列表,p1,core,单产品,编号、标题、严重程度、状态,PMS-FEA-SP-DEF-LIST,默认仅我相关,severity 列不为空
单产品/缺陷/筛选导出,筛选追踪与导出,p2,basic,单产品,筛选、追踪、批量导出,PMS-FEA-SP-DEF-FILTER,与需求列表模式一致,导出字段完整
单产品/缺陷/新建缺陷,新建缺陷,p2,core,单产品,手工登记缺陷,PMS-FEA-SP-DEF-CREATE,支持产品/非产品缺陷分类,保存后列表可见
单产品/缺陷/取消追溯,取消追溯,p3,basic,单产品,解除缺陷与需求/版本关联,PMS-FEA-SP-DEF-UNTRACE,需确认,图谱边消失
单产品/团队,团队管理,p1,core,单产品,成员与产品管理员,?tab=team,,
单产品/团队/成员列表,成员列表,p1,core,单产品,负责人/产品管理员/成员三级角色,PMS-FEA-SP-TEAM-LIST,角色标签区分,列表与权限一致
单产品/团队/增删成员,添加与移除成员,p1,core,单产品,产品管理员可增删普通成员,PMS-FEA-SP-TEAM-MEMBER,负责人带皇冠不可删,操作后列表更新
单产品/团队/指派管理员,指派产品管理员,p1,core,单产品,MAP 管理员/负责人可指派,PMS-FEA-SP-TEAM-ADMIN,可多位管理员,指派后权限即时生效
单产品/团队/批量导出,批量导出,p3,basic,单产品,导出成员 CSV,PMS-FEA-SP-TEAM-EXPORT,含角色字段,文件可打开
单产品/知识库,知识库,,,单产品,本产品文档空间,?tab=knowledge,,
单产品/知识库/知识列表,知识列表,p2,core,单产品,分页列表与筛选,PMS-FEA-SP-KB-LIST,支持新建/上传/重新上传,条目可打开详情
单产品/知识库/关联版本,关联版本,p2,basic,单产品,知识条目绑定正式版本,PMS-FEA-SP-KB-VER-LINK,可多版本,版本详情可见关联知识
单产品/知识库/分类管理,分类治理,p3,basic,单产品,知识分类维护,PMS-FEA-SP-KB-CATEGORY,影响列表筛选,新建可选分类
单产品/知识库/文件夹管理,文件夹治理,p3,basic,单产品,知识文件夹结构,PMS-FEA-SP-KB-FOLDER,树形组织,移动后路径正确
单产品/知识库/标签管理,标签治理,p3,basic,单产品,知识标签维护,PMS-FEA-SP-KB-TAG,支持多标签,筛选按标签生效
单产品/图谱,关系图谱,p2,value_added,单产品,本产品对象关联可视化,?tab=graph,PMS-FEA-SP-GRAPH,节点过滤/搜索/追溯高亮,点击节点打开详情
对象详情,对象详情,,,对象详情,各实体详情页与新建页,,,
对象详情/需求详情,需求详情,p0,core,对象详情,查看编辑正文、工作流、活动流、关联对象,/requirement/:id,PMS-FEA-OBJ-REQ,支持富文本与自定义字段,状态流转可追溯
对象详情/需求详情/关联对象,关联版本功能缺陷,p1,core,对象详情,绑定版本、功能、缺陷、客户,PMS-FEA-OBJ-REQ-LINK,同一需求可关联多个功能,图谱可见关联边
对象详情/需求详情/图谱聚焦,内嵌图谱聚焦,p2,value_added,对象详情,详情页内聚焦该需求关联子图,PMS-FEA-OBJ-REQ-GRAPH,与全局图谱数据一致,聚焦节点高亮
对象详情/功能详情,功能详情,p1,core,对象详情,描述、关键规则、验收标准、关联需求,/feature/:id,PMS-FEA-OBJ-FEAT,外部 ID 可展示,导入字段完整可见
对象详情/功能详情/功能版本化,功能版本化,p1,core,对象详情,将功能纳入指定正式版本,PMS-FEA-OBJ-FEAT-VER,同一功能可多版本,版本详情功能清单含此项
对象详情/缺陷详情,缺陷详情,p1,core,对象详情,TAPD 对齐字段、正文、评论、流转,/defect/:id,PMS-FEA-OBJ-DEF,支持跨对象转需求,详情显示来源系统
对象详情/正式版本详情,正式版本详情,p0,core,对象详情,基础信息、关联需求/功能/缺陷,/release/:id,PMS-FEA-OBJ-RELEASE,含上线完成操作,完成发版需填公告
对象详情/正式版本详情/上线完成,上线完成,p1,core,对象详情,填写上线公告并标记完成,PMS-FEA-OBJ-RELEASE-DONE,仅合法状态可完成,完成后状态变更
对象详情/内部版本详情,内部版本详情,p1,core,对象详情,立项基础信息与关联对象,/initiation/:id,PMS-FEA-OBJ-INIT,含立项流程面板,评审节点与进度一致
对象详情/内部版本详情/立项流程,立项流程面板,p1,core,对象详情,评审会议与决策记录,PMS-FEA-OBJ-INIT-WF,可重新发起/继续,流程状态与 tab 同步
对象详情/知识详情,知识详情,p2,core,对象详情,阅读编辑富文本/Markdown/文件,/knowledge/:entryId,PMS-FEA-OBJ-KB,支持版本关联弹窗,预览与编辑模式可切换
